quality_set,term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,fdr_p_value
high_confidence,abs_winding_angle_deg,-1.22931800781989e-04,4.40093683596611e-04,-0.2793309819339917,7.85682847648812e-01,PC2,abs_winding_angle_deg,12,1.000000000000000,continuous,8.73044451147791e-01
high_confidence,(Intercept),1.52884519259957e-01,1.81969741077217e-01,0.8401645150172659,4.20449688759317e-01,PC2,n_turns_abs,12,1.000000000000000,continuous,6.23203443885484e-01
high_confidence,n_turns_abs,-4.42554482815160e-02,1.58433726094780e-01,-0.2793309819339916,7.85682847648812e-01,PC2,n_turns_abs,12,1.000000000000000,continuous,8.73044451147791e-01
high_confidence,(Intercept),1.75235683470259e-01,1.17750985119460e-01,1.4881886830286815,1.67541943178181e-01,PC2,start_end_dist,12,1.000000000000000,continuous,3.35083886356362e-01
high_confidence,start_end_dist,-2.19213906842092e-01,3.24940444776697e-01,-0.6746279521859412,5.15205381263267e-01,PC2,start_end_dist,12,1.000000000000000,continuous,7.14097520415637e-01
high_confidence,(Intercept),1.43049906738027e-01,1.08318446360292e-01,1.3206421578667227,2.16045592025771e-01,PC2,axial_span,12,1.000000000000000,continuous,3.72379320661261e-01
high_confidence,axial_span,-2.09036748002293e-01,5.07563455248229e-01,-0.4118435751054260,6.89142910555271e-01,PC2,axial_span,12,1.000000000000000,continuous,8.40591915743720e-01
high_confidence,(Intercept),1.43219102912396e-01,1.08478752755836e-01,1.3202502727400824,2.16171588073838e-01,PC2,axial_pitch_360,12,1.000000000000000,continuous,3.72379320661261e-01
high_confidence,axial_pitch_360,-2.22378100987108e-01,5.38671212704237e-01,-0.4128271489963715,6.88445260686582e-01,PC2,axial_pitch_360,12,1.000000000000000,continuous,8.40591915743720e-01
high_confidence,(Intercept),-2.71911420550452e-01,4.61107257902831e-01,-0.5896923457399839,5.68480410593929e-01,PC2,fit_radius,12,1.000000000000000,continuous,7.72010434139904e-01
high_confidence,fit_radius,1.48093664341980e+00,1.80298690630316e+00,0.8213795886384470,4.30576924866334e-01,PC2,fit_radius,12,1.000000000000000,continuous,6.23203443885484e-01
high_confidence,(Intercept),-3.47735759040323e-01,1.35926823398273e-01,-2.5582570852953528,2.84581120229551e-02,PC3,abs_winding_angle_deg,12,0.000000000000000,continuous,1.24733369720149e-01
high_confidence,abs_winding_angle_deg,8.01141058683021e-04,3.28805149646821e-04,2.4365222367823329,3.50569177132320e-02,PC3,abs_winding_angle_deg,12,0.000000000000000,continuous,1.28542031615184e-01
high_confidence,(Intercept),-3.47735759040323e-01,1.35926823398273e-01,-2.5582570852953523,2.84581120229551e-02,PC3,n_turns_abs,12,0.000000000000000,continuous,1.24733369720149e-01
high_confidence,n_turns_abs,2.88410781125888e-01,1.18369853872855e-01,2.4365222367823325,3.50569177132320e-02,PC3,n_turns_abs,12,0.000000000000000,continuous,1.28542031615184e-01
high_confidence,(Intercept),-1.68471502973038e-01,1.11861308848552e-01,-1.5060748413120180,1.62965235670843e-01,PC3,start_end_dist,12,0.000000000000000,continuous,3.31966220810976e-01
high_confidence,start_end_dist,4.45792922288610e-01,3.28861625771510e-01,1.3555638218438488,2.05060988891962e-01,PC3,start_end_dist,12,0.000000000000000,continuous,3.72379320661261e-01
high_confidence,(Intercept),-2.47421531859763e-01,6.94596240984709e-02,-3.5620914318367292,5.16324398985097e-03,PC3,axial_span,12,1.000000000000000,continuous,2.98924652044003e-02
high_confidence,axial_span,1.22241586804717e+00,3.25477035466297e-01,3.7557668739850194,3.74812841434538e-03,PC3,axial_span,12,1.000000000000000,continuous,2.29052291987773e-02
high_confidence,(Intercept),-2.12591861921997e-02,8.43498063244877e-02,-0.2520359810954054,8.06117573805705e-01,PC3,axial_pitch_360,12,0.000000000000000,continuous,8.73044451147791e-01
high_confidence,axial_pitch_360,8.00216821229521e-03,4.91424370034918e-01,0.0162836210416805,9.87328429051099e-01,PC3,axial_pitch_360,12,0.000000000000000,continuous,9.87328429051099e-01
high_confidence,(Intercept),1.01565839101730e-02,3.69405875622753e-01,0.0274943756458958,9.78606380745401e-01,PC3,fit_radius,12,0.000000000000000,continuous,9.87328429051099e-01
high_confidence,fit_radius,-1.20962881917914e-01,1.48118430945840e+00,-0.0816663268341967,9.36523503097670e-01,PC3,fit_radius,12,0.000000000000000,continuous,9.62781171408819e-01
high_confidence,(Intercept),-4.14988433228666e-02,1.35467702069274e-01,-0.3063375453260836,7.65630669291212e-01,PC4,abs_winding_angle_deg,12,0.000000000000000,continuous,8.73044451147791e-01
high_confidence,abs_winding_angle_deg,1.48384686002033e-04,3.27694541353965e-04,0.4528140303739547,6.60348165257080e-01,PC4,abs_winding_angle_deg,12,0.000000000000000,continuous,8.25435206571349e-01
high_confidence,(Intercept),-4.14988433228669e-02,1.35467702069274e-01,-0.3063375453260855,7.65630669291211e-01,PC4,n_turns_abs,12,0.000000000000000,continuous,8.73044451147791e-01
high_confidence,n_turns_abs,5.34184869607322e-02,1.17970034887427e-01,0.4528140303739567,6.60348165257078e-01,PC4,n_turns_abs,12,0.000000000000000,continuous,8.25435206571349e-01
high_confidence,(Intercept),9.69665796580399e-02,8.17874095939745e-02,1.1855929921172568,2.63190600817748e-01,PC4,start_end_dist,12,0.848677544678989,continuous,4.25749501322828e-01
high_confidence,start_end_dist,-2.90272401420954e-01,2.30784297927233e-01,-1.2577649520699938,2.37053860231215e-01,PC4,start_end_dist,12,0.848677544678989,continuous,3.97794794940453e-01
high_confidence,(Intercept),1.22937591450204e-01,6.60594004226275e-02,1.8610158533635943,9.23608539323584e-02,PC4,axial_span,12,1.000000000000000,continuous,2.41897474584748e-01
high_confidence,axial_span,-6.58155500605062e-01,3.09544114200169e-01,-2.1262090616895439,5.93993443931141e-02,PC4,axial_span,12,1.000000000000000,continuous,1.92174349507134e-01
high_confidence,(Intercept),1.44533783240929e-01,6.02028879955564e-02,2.4007782359476963,3.72660588558896e-02,PC4,axial_pitch_360,12,1.000000000000000,continuous,1.32234402391866e-01
high_confidence,axial_pitch_360,-8.20694754157506e-01,2.98948520894743e-01,-2.7452711647516859,2.06451244361978e-02,PC4,axial_pitch_360,12,1.000000000000000,continuous,1.03225622180989e-01
high_confidence,(Intercept),5.61691314831140e-01,2.39359478805753e-01,2.3466432899737724,4.08739494483076e-02,PC4,fit_radius,12,0.000000000000000,continuous,1.40504201228557e-01
high_confidence,fit_radius,-2.17994373951855e+00,9.59745168453364e-01,-2.2713776647936021,4.64616869809349e-02,PC4,fit_radius,12,0.000000000000000,continuous,1.54872289936450e-01
high_confidence,(Intercept),9.86235061052120e-02,7.00114733590428e-02,1.4086763407968417,1.89256421521596e-01,PC5,abs_winding_angle_deg,12,0.653013214339240,continuous,3.52850955379246e-01
high_confidence,abs_winding_angle_deg,-2.59816975937724e-04,1.70901761579090e-04,-1.5202709061456052,1.59410578859548e-01,PC5,abs_winding_angle_deg,12,0.653013214339240,continuous,3.31966220810976e-01
high_confidence,(Intercept),9.86235061052141e-02,7.00114733590442e-02,1.4086763407968437,1.89256421521595e-01,PC5,n_turns_abs,12,0.653013214338740,continuous,3.52850955379246e-01
high_confidence,n_turns_abs,-9.35341113375795e-02,6.15246341684741e-02,-1.5202709061455493,1.59410578859562e-01,PC5,n_turns_abs,12,0.653013214338740,continuous,3.31966220810976e-01
high_confidence,(Intercept),1.39213463582719e-02,5.21536914119112e-02,0.2669292619830259,7.94947449857149e-01,PC5,start_end_dist,12,0.648683291031603,continuous,8.73044451147791e-01
high_confidence,start_end_dist,-5.71477617018952e-02,1.49726140242480e-01,-0.3816819268121451,7.10682256037872e-01,PC5,start_end_dist,12,0.648683291031603,continuous,8.40591915743720e-01
high_confidence,(Intercept),5.63352156810507e-02,4.81806525910470e-02,1.1692497434440934,2.69418374911416e-01,PC5,axial_span,12,0.000000000000000,continuous,4.29507554206606e-01
high_confidence,axial_span,-3.17983307220516e-01,2.53757261731830e-01,-1.2531003252886606,2.38676876964272e-01,PC5,axial_span,12,0.000000000000000,continuous,3.97794794940453e-01
high_confidence,(Intercept),1.02783739849177e-03,4.33351619926289e-02,0.0237183236713548,9.81543906283101e-01,PC5,axial_pitch_360,12,0.579558181559698,continuous,9.87328429051099e-01
high_confidence,axial_pitch_360,-3.18247712863966e-02,2.30469769232022e-01,-0.1380865325306830,8.92913013800708e-01,PC5,axial_pitch_360,12,0.579558181559698,continuous,9.30211699868337e-01
high_confidence,(Intercept),-8.36793562521107e-02,1.73066630983755e-01,-0.4835094771098036,6.39146298195003e-01,PC5,fit_radius,12,0.000000000000000,continuous,8.25435206571349e-01
high_confidence,fit_radius,3.26195165155915e-01,6.93934761789629e-01,0.4700660395145380,6.48391507318613e-01,PC5,fit_radius,12,0.000000000000000,continuous,8.25435206571349e-01
high_confidence,(Intercept),5.91122205644880e-02,4.77154717182749e-02,1.2388480808384874,2.43691965104158e-01,PC1,centroid_size,12,1.000000000000000,continuous,4.00091285991902e-01
high_confidence,centroid_size,-2.90636340627470e-04,1.76309327554893e-04,-1.6484456305182247,1.30278514138970e-01,PC1,centroid_size,12,1.000000000000000,continuous,3.07366615427283e-01
high_confidence,(Intercept),2.30033478920243e-01,7.67432969740377e-02,2.9974406624472207,1.34021406221246e-02,PC2,centroid_size,12,1.000000000000000,continuous,7.02016889730336e-02
high_confidence,centroid_size,-5.78023162820718e-04,2.83567543117380e-04,-2.0383967659565694,6.88316566658990e-02,PC2,centroid_size,12,1.000000000000000,continuous,2.04634654952673e-01
high_confidence,(Intercept),-4.93552119461445e-02,6.56046407811991e-02,-0.7523128144356626,4.69201137030020e-01,PC3,centroid_size,12,0.000000000000000,continuous,6.70287338614314e-01
high_confidence,centroid_size,1.30156520368432e-04,2.69796919393448e-04,0.4824240419833069,6.39890392736654e-01,PC3,centroid_size,12,0.000000000000000,continuous,8.25435206571349e-01
high_confidence,(Intercept),-2.03495062539744e-02,5.11850609199696e-02,-0.3975672957738953,6.99303222283463e-01,PC4,centroid_size,12,0.000000000000000,continuous,8.40591915743720e-01
high_confidence,centroid_size,1.75087969729326e-04,2.10496873250639e-04,0.8317841829453120,4.24947558536343e-01,PC4,centroid_size,12,0.000000000000000,continuous,6.23203443885484e-01
high_confidence,(Intercept),5.02122617386290e-03,3.39302261621162e-02,0.1479868171191031,8.85294603369433e-01,PC5,centroid_size,12,0.599300849141010,continuous,9.30211699868337e-01
high_confidence,centroid_size,-4.32753309843204e-05,1.30794755219577e-04,-0.3308644212198739,7.47575204199199e-01,PC5,centroid_size,12,0.599300849141010,continuous,8.73044451147791e-01
high_confidence,(Intercept),3.38533844918877e+02,4.44813574279445e+01,7.6106905115759824,1.81777823028963e-05,abs_winding_angle_deg,centroid_size,12,0.000000000000000,continuous,4.98787648574233e-04
high_confidence,centroid_size,3.12537037196551e-01,1.82928113950401e-01,1.7085238045000131,1.18337578989758e-01,abs_winding_angle_deg,centroid_size,12,0.000000000000000,continuous,2.89269637530520e-01
high_confidence,(Intercept),9.40371791441326e-01,1.23559326188735e-01,7.6106905115759824,1.81777823028963e-05,n_turns_abs,centroid_size,12,0.000000000000000,continuous,4.98787648574233e-04
high_confidence,centroid_size,8.68158436657085e-04,5.08133649862224e-04,1.7085238045000126,1.18337578989758e-01,n_turns_abs,centroid_size,12,0.000000000000000,continuous,2.89269637530520e-01
high_confidence,(Intercept),2.45339696779983e-01,5.04647330105417e-02,4.8616069509123125,6.59828061018694e-04,start_end_dist,centroid_size,12,0.000000000000000,continuous,9.07263583900704e-03
high_confidence,centroid_size,3.88714379678075e-04,2.07534548503447e-04,1.8730104576858855,9.05587470242589e-02,start_end_dist,centroid_size,12,0.000000000000000,continuous,2.41897474584748e-01
high_confidence,(Intercept),1.69856165981841e-01,3.60353693573854e-02,4.7135958090860957,8.24397894573176e-04,axial_span,centroid_size,12,0.000000000000000,continuous,1.00759742670055e-02
high_confidence,centroid_size,6.72169700854666e-05,1.48194266839333e-04,0.4535733501643539,6.59819764118723e-01,axial_span,centroid_size,12,0.000000000000000,continuous,8.25435206571349e-01
high_confidence,(Intercept),1.69529234044427e-01,4.26658909795848e-02,3.9734136602361150,2.62879574969522e-03,axial_pitch_360,centroid_size,12,0.000000000000000,continuous,1.70098548509691e-02
high_confidence,centroid_size,-2.34379664999088e-05,1.75462068115881e-04,-0.1335785378092635,8.96385819873124e-01,axial_pitch_360,centroid_size,12,0.000000000000000,continuous,9.30211699868337e-01
high_confidence,(Intercept),2.68984542560960e-01,1.40964212940365e-02,19.0817610335435397,3.39607362597623e-09,fit_radius,centroid_size,12,0.949347240896415,continuous,3.73568098857386e-07
high_confidence,centroid_size,-6.91465886800634e-05,5.24337468379666e-05,-1.3187420859650503,2.16657059293825e-01,fit_radius,centroid_size,12,0.949347240896415,continuous,3.72379320661261e-01
